Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Frequency_Score,Discount_Independence,Satisfaction_Flag,Prev_Norm,Freq_Norm,Spend_Norm,Rating_Norm,Loyalty_A,Loyalty_B,Customer_Value_Score,Value_Tier,Organic_Demand_Score,Loyalty_A_Tier,Loyalty_B_Tier
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,26,0,Unsatisfied,0.26530612244897955,0.49019607843137253,0.4125000000000001,0.2400000000000002,0.35526210484193677,0.20465306122448984,0.38388105242096837,Medium Value,0.29095638255302114,Medium Loyalty,Low Loyalty
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,26,0,Unsatisfied,0.02040816326530612,0.49019607843137253,0.55,0.2400000000000002,0.2083233293317327,0.08220408163265312,0.37916166466586637,Medium Value,0.18075230092036812,Low Loyalty,Low Loyalty
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,52,0,Unsatisfied,0.44897959183673464,0.9999999999999999,0.6625000000000001,0.2400000000000002,0.6693877551020407,0.2964897959183674,0.6659438775510204,VIP,0.5520408163265305,Champion,Low Loyalty
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,52,0,Unsatisfied,0.9795918367346937,0.9999999999999999,0.875,0.40000000000000013,0.9877551020408162,0.6097959183673469,0.9313775510204081,VIP,0.7908163265306121,Champion,High Loyalty
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,1,0,Unsatisfied,0.6122448979591836,0.0,0.36250000000000004,0.08000000000000007,0.3673469387755101,0.3301224489795918,0.3649234693877551,Medium Value,0.2755102040816326,Medium Loyalty,Low Loyalty
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,52,0,Unsatisfied,0.26530612244897955,0.9999999999999999,0.0,0.15999999999999992,0.5591836734693877,0.18065306122448976,0.27959183673469384,Low Value,0.4693877551020407,High Loyalty,Low Loyalty
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,4,0,Unsatisfied,0.9795918367346937,0.058823529411764705,0.8125,0.28000000000000025,0.6112845138055222,0.5737959183673469,0.711892256902761,VIP,0.46140456182472983,Champion,High Loyalty
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,52,0,Unsatisfied,0.36734693877551017,0.9999999999999999,0.17500000000000004,0.28000000000000025,0.620408163265306,0.26767346938775516,0.39770408163265303,Medium Value,0.5153061224489794,Champion,Low Loyalty
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,1,0,Unsatisfied,0.14285714285714285,0.0,0.9625000000000001,0.040000000000000036,0.0857142857142857,0.08342857142857144,0.5241071428571429,High Value,0.06428571428571428,Low Loyalty,Low Loyalty
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,4,0,Satisfied,0.061224489795918366,0.058823529411764705,0.1375,0.9199999999999999,0.0602641056422569,0.30661224489795913,0.09888205282112845,Low Value,0.04813925570228091,Low Loyalty,Low Loyalty
